repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
C++,2234,23693,2323.061597222222,MERGED,1,27,5,1,1,192,False,0,1,1,1899,28,18.378055555555555,Bug
TypeScript,41369,87411,2904.8373032407403,MERGED,10,976,6,5,17,36,False,2,3,1,1865,986,98.72083333333333,Document
JavaScript,3618,9017,2252.84125,MERGED,4,5,2,3,1,523,False,1,2,1,1465,9,332.145,Bug
C#,80,125,784.6580092592593,MERGED,35,28,10,0,5,151,True,0,0,0,588,63,240.04194444444445,Document
JavaScript,8844,63474,4041.5657870370374,MERGED,4,23,3,0,1,55,True,0,0,0,2284,27,42.214166666666664,Bug
Go,2083,11768,1484.016388888889,MERGED,2,2,1,2,1,0,False,0,2,2,1376,4,0.03861111111111111,Document
TypeScript,1297,21107,383.02068287037036,MERGED,2,6,2,1,1,761,True,0,1,1,1832,8,0.14555555555555555,Document
TypeScript,1297,21107,382.9843402777778,MERGED,122,3,4,1,1,759,True,0,1,1,2190,125,0.16416666666666666,Document
Erlang,2054,12122,3755.3197222222225,MERGED,1,4,1,0,1,961,True,0,0,0,339,5,12.831388888888888,Bug
Java,450,746,4037.4121990740737,MERGED,1,1,1,1,4,10,False,0,1,1,480,2,12.8025,Bug
C#,80,125,786.7704050925926,MERGED,1,1,1,0,1,60,False,0,0,0,624,2,116.90333333333334,Document
Python,19248,70257,2427.5101157407407,CLOSED,0,19,3,3,7,252,False,2,1,1,569,19,3.8958333333333335,Bug
C#,80,125,784.7429513888889,MERGED,92,168,9,0,1,177,False,0,0,0,537,260,0.4638888888888889,Document
Go,395,660,1232.1372800925926,MERGED,50,91,10,0,6,49,False,0,0,0,619,141,120.49416666666667,Feature
TypeScript,2071,16638,1210.3027662037036,CLOSED,0,137,4,3,5,1,False,1,2,1,3057,137,143.67361111111111,Document
TypeScript,15,34,457.4956134259259,MERGED,14,18,4,0,2,846,False,0,0,0,2584,32,1.9705555555555556,Feature
F#,153,337,2881.0234953703707,MERGED,36,1907,9,0,1,23,False,0,0,0,3118,1943,1.585,Bug
Go,298,7579,522.3276736111111,CLOSED,84,372,6,1,57,31,False,0,1,1,925,456,449.18333333333334,Document
JavaScript,5139,7048,1169.5213425925926,MERGED,21,1782,13,14,28,85,False,6,8,3,3662,1803,286.99583333333334,Feature
TypeScript,2071,16638,1205.195775462963,MERGED,2,5,1,0,4,67,True,0,0,0,2406,7,241.82972222222222,Bug
C#,80,125,787.6919097222222,MERGED,0,2,1,0,1,37,False,0,0,0,646,2,0.44055555555555553,Document
Erlang,2054,12122,3755.3124884259255,MERGED,63,140,15,0,16,960,True,0,0,0,406,203,19.969166666666666,Document
TypeScript,7045,76149,2587.8350694444443,MERGED,6,81,7,5,1,89,False,0,5,2,1580,87,0.2836111111111111,Document
JavaScript,8844,63474,4043.5468402777774,MERGED,8,139,15,0,6,57,True,0,0,0,3660,147,159.505,Feature
TypeScript,41369,87411,2903.54462962963,MERGED,4,16,4,1,3,22,False,0,1,1,2098,20,3.99,Document
Go,30,295,307.41692129629627,MERGED,1,3,1,2,1,90,True,0,2,1,1715,4,0.016666666666666666,Bug
TypeScript,7045,76149,2587.7975694444444,CLOSED,1,1,1,6,1,88,False,1,5,2,331,2,0.32722222222222225,Bug
